Time (s),Extension (mm),Load (N),Tensile strain (mm/mm)
53.17,2.649,7655.74121,0.02002
53.27,2.649,7655.65771,0.02002
53.37,2.649,7655.24219,0.02002
53.47,2.649,7655.24365,0.02002
53.57,2.649,7654.75098,0.02002
53.67,2.649,7654.61914,0.02002
53.77,2.649,7654.32812,0.02002
53.87,2.649,7653.91797,0.02002
53.97,2.649,7653.82178,0.02002
54.07,2.649,7653.47949,0.02002
54.17,2.649,7653.1543,0.02002
54.27,2.649,7652.91016,0.02002
54.37,2.649,7652.89307,0.02002
54.47,2.649,7652.47119,0.02002
54.57,2.649,7652.30273,0.02002
54.67,2.649,7652.20166,0.02002
54.77,2.649,7651.98633,0.02002
54.87,2.649,7651.83936,0.02002
54.97,2.649,7651.52783,0.02002
55.07,2.649,7651.22705,0.02002
55.17,2.649,7651.19873,0.02002
55.27,2.649,7650.79785,0.02002
55.37,2.649,7650.69873,0.02002
55.47,2.649,7650.37402,0.02002
55.57,2.649,7650.10254,0.02002
55.67,2.649,7649.94678,0.02002
55.77,2.649,7649.77539,0.02002
55.87,2.649,7649.51025,0.02002
55.97,2.649,7649.29004,0.02002
56.07,2.649,7649.12158,0.02002
56.17,2.649,7648.84033,0.02002
56.27,2.649,7648.66016,0.02002
56.37,2.649,7648.19922,0.02002
56.47,2.649,7648.27881,0.02002
56.57,2.649,7647.94141,0.02002
56.652,2.649,7647.95312,0.02002
56.654,2.649,7647.95312,0.02002
56.754,2.6495,7648.06592,0.02002
56.854,2.659,7779.89307,0.0201
56.954,2.66962,8029.82812,0.02018
57.054,2.67869,8167.38135,0.02025
57.154,2.68712,8247.46973,0.02032
57.254,2.69531,8289.49414,0.02039
57.354,2.70356,8315.1084,0.02045
57.454,2.71187,8332.09863,0.02052
57.554,2.72044,8343.23047,0.02058
57.654,2.72869,8352.07812,0.02065
57.754,2.73712,8359.80664,0.02071
57.854,2.74556,8364.98633,0.02078
57.954,2.75356,8369.45801,0.02084
58.054,2.76194,8379.62305,0.02091
58.154,2.77044,8388.09668,0.02098
58.254,2.77869,8394.26953,0.02104
58.354,2.78719,8406.06348,0.02111
58.454,2.7955,8414.03711,0.02117
58.554,2.80375,8417.13086,0.02124
58.654,2.81194,8428.64941,0.0213
58.754,2.82044,8439.05469,0.02137
58.854,2.82875,8442.62109,0.02144
58.954,2.83675,8450.72656,0.0215
59.054,2.84537,8464.03125,0.02157
59.154,2.85387,8472.2002,0.02163
59.254,2.86212,8477.86328,0.0217
59.354,2.87037,8485.59863,0.02176
59.454,2.87875,8494.20117,0.02183
59.554,2.887,8497.65527,0.02189
59.654,2.89506,8507.40625,0.02196
59.754,2.90381,8522.79883,0.02203
59.854,2.91231,8527.4209,0.02209
59.954,2.92037,8533.75781,0.02216
60.054,2.92881,8544.0127,0.02222
60.154,2.93706,8551.05664,0.02229
60.254,2.94531,8559.04688,0.02235
